playlist_index,title,id,view_count,like_count,comment_count,upload_date,upload_date_iso,duration,duration_string,channel,uploader,url
52,Tidy EDA: Patterns and models,Hv6DzT6Z2yA,42,2,0,20211221,2021-12-21,1435,23:55,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=Hv6DzT6Z2yA
53,Tidy EDA: Covariation between two categorical variables and between two continuous variables,k8GykC4ZXW0,171,5,0,20211214,2021-12-14,1562,26:02,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=k8GykC4ZXW0
54,Tidy EDA: Covariation between one categorical variable and one continuous variable,WBmLuUV5BEE,49,1,0,20211207,2021-12-07,1579,26:19,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=WBmLuUV5BEE
55,EDA: Unusual and missing values,HJCUlCgEnqM,13,1,0,20211130,2021-11-30,1884,31:24,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=HJCUlCgEnqM
56,"EDA with the tidyverse: Typical, unusual, and missing values",KxybJ_zVJUA,168,2,0,20211116,2021-11-16,1684,28:04,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=KxybJ_zVJUA
57,EDA with the tidyverse: Exploring Variation,26hbyVb00xs,362,7,0,20211109,2021-11-09,1613,26:53,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=26hbyVb00xs
58,Tidy EDA: The data-science workflow and toolkit: An overview,0-zQ69P6VsY,48,,0,20211102,2021-11-02,2218,36:58,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=0-zQ69P6VsY
59,tidy EDA: Defensive workflow,YlBnarQNRR8,43,1,0,20211026,2021-10-26,2011,33:31,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=YlBnarQNRR8
60,reprex: Package philosophy,q17jsQrBPt0,20,1,0,20211019,2021-10-19,938,15:38,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=q17jsQrBPt0
61,reprex: Do's and don'ts,BOcl8iuiDvU,20,,0,20211012,2021-10-12,1678,27:58,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=BOcl8iuiDvU
62,reprex: overview,erv1yJaNID8,78,1,0,20211005,2021-10-05,1927,32:07,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=erv1yJaNID8
63,Docker: Using volumes and managing users,CvOVn2zwi3k,198,3,0,20210928,2021-09-28,2366,39:26,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=CvOVn2zwi3k
64,Docker: Managing images,3_0gUMqKikw,38,1,0,20210921,2021-09-21,1822,30:22,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=3_0gUMqKikw
65,Docker: managing containers,RO-OdWXfpBc,47,1,0,20210914,2021-09-14,1709,28:29,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=RO-OdWXfpBc
66,docker: use cases,OieR0VDxSRk,312,5,0,20210907,2021-09-07,2281,38:01,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=OieR0VDxSRk
67,Docker: docker-compose and env files,kgGCNGLyqdg,684,9,1,20210831,2021-08-31,1941,32:21,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=kgGCNGLyqdg
68,Docker: Getting started with the Rocker project,qY5ForDjgGY,2117,36,1,20210824,2021-08-24,1728,28:48,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=qY5ForDjgGY
69,Shiny: Wrap up and demo,uk-I5WrZsAc,19,,0,20210817,2021-08-17,1737,28:57,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=uk-I5WrZsAc
70,Shiny: Publishing,c3jANTGkB1U,47,3,0,20210810,2021-08-10,1820,30:20,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=c3jANTGkB1U
71,Shiny: Packages,O_tkgjsUT6g,59,1,0,20210803,2021-08-03,1662,27:42,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=O_tkgjsUT6g
72,Shiny: Debugging,NgEocgBUH_A,2326,29,3,20210727,2021-07-27,1932,32:12,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=NgEocgBUH_A
73,Shiny: development workflow,lq6ZhPFVLTY,54,1,0,20210720,2021-07-20,1433,23:53,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=lq6ZhPFVLTY
74,Shiny: Basic reactivity,EB6ODnkdG7A,64,2,1,20210713,2021-07-13,1676,27:56,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=EB6ODnkdG7A
75,Shiny: Basic reactivity,rirpOpTYVg4,258,6,0,20210629,2021-06-29,1639,27:19,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=rirpOpTYVg4
76,Shiny: Basic ui and introduction to reactive(),JqqrPZdWXfQ,222,7,1,20210622,2021-06-22,1949,32:29,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=JqqrPZdWXfQ
77,A/B testing r2dii.plot,C29QThEYbYY,17,,0,20210608,2021-06-08,1790,29:50,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=C29QThEYbYY
78,Shiny: Your first shiny app,p-p_4ZcDIGw,275,2,0,20210601,2021-06-01,1823,30:23,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=p-p_4ZcDIGw
79,Gitflow workflow,OofNbCXEVgU,162,1,0,20210525,2021-05-25,1742,29:02,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=OofNbCXEVgU
80,Hazards of side effects and ways to leave the world as you found it,C0VuGkBZeKw,19,,0,20210511,2021-05-11,1522,25:22,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=C0VuGkBZeKw
81,Testing: Using snapshot tests to refactor safely,UeECMfOFIHk,24,1,0,20210504,2021-05-04,1621,27:01,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=UeECMfOFIHk
82,Testing: Snapshot tests,pxxcuZH9_yA,175,3,0,20210427,2021-04-27,1775,29:35,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=pxxcuZH9_yA
83,Testing: Code coverage,bKRFCOkmpiw,32,3,0,20210420,2021-04-20,687,11:27,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=bKRFCOkmpiw
84,Testing: Test driven development (TDD),4AOKCiAh3NM,48,,0,20210413,2021-04-13,1179,19:39,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=4AOKCiAh3NM
